Epsilon (Îµ),MinPoints,Clusters Formed,Noise Points,Silhouette Score,Davies-Bouldin Index
0.1,3,34,162,0.307145373,0.635315503
0.1,4,24,209,0.307777411,0.660238671
0.1,5,13,263,0.400284357,0.678605931
0.2,3,17,41,0.281464187,1.207493083
0.2,4,14,61,0.299591499,1.245443603
0.2,5,15,68,0.278627721,1.181996734
0.3,3,17,14,0.266989973,1.382889038
0.3,4,16,20,0.273532995,1.396826254
0.3,5,14,30,0.280064669,1.456997347
0.4,3,1,1,,
0.4,4,1,1,,
0.4,5,1,1,,
0.5,3,1,0,,
0.5,4,1,0,,
0.5,5,1,0,,
0.6,3,1,0,,
0.6,4,1,0,,
0.6,5,1,0,,
0.7,3,1,0,,
0.7,4,1,0,,
0.7,5,1,0,,
0.8,3,1,0,,
0.8,4,1,0,,
0.8,5,1,0,,
0.9,3,1,0,,
0.9,4,1,0,,
0.9,5,1,0,,